"KO","Flux Value","Reaction Abbreviation","Reaction Name","Reaction Equation (Metabolite Abbreviation)","Reaction Equation (Metabolite Name)","Reversible","Lower Bound","Upper Bound","Biological Objective","Gene Associations","PROTEIN_ASSOCIATION","SUBSYSTEM","PROTEIN_CLASS"
"false","0.0","R_ACKr","R_acetate_kinase","M_ac_c + M_atp_c <==> M_actp_c + M_adp_c","M_Acetate_C2H3O2 + M_ATP_C10H12N5O13P3 <==> M_Acetyl_phosphate_C2H3O5P + M_ADP_C10H12N5O10P2","true","-999999.0","999999.0","0.0","b2296","AckA","S_Pyruvate_Metabolism","2.7.2.1"
"false","6.264896","R_ACONT","R_aconitase","M_cit_c <==> M_icit_c","M_Citrate_C6H5O7 <==> M_Isocitrate_C6H5O7","true","-999999.0","999999.0","0.0","( b0118  or  b1276 )","( AcnB ) or ( AcnA )","S_Citric_Acid_Cycle","4.2.1.3"
"false","0.0","R_ACt2r","R_acetate_reversible_transport_via_proton_symport","M_ac_e + M_h_e <==> M_ac_c + M_h_c","M_Acetate_C2H3O2 + M_H_H <==> M_Acetate_C2H3O2 + M_H_H","true","-999999.0","999999.0","0.0"," "," ","S_"," "
"false","0.0","R_ADHEr","R_Acetaldehyde_dehydrogenase","M_accoa_c + 2 M_h_c + 2 M_nadh_c <==> M_coa_c + M_etoh_c + 2 M_nad_c","M_Acetyl_CoA_C23H34N7O17P3S + 2 M_H_H + 2 M_Nicotinamide_adenine_dinucleotide___reduced_C21H27N7O14P2 <==> M_Coenzyme_A_C21H32N7O16P3S + M_Ethanol_C2H6O + 2 M_Nicotinamide_adenine_dinucleotide_C21H26N7O14P2","true","-999999.0","999999.0","0.0","b1241","AdhE","S_"," "
"false","0.0","R_ADK1","R_adenylate_kinase","M_amp_c + M_atp_c <==> 2 M_adp_c","M_AMP_C10H12N5O7P + M_ATP_C10H12N5O13P3 <==> 2 M_ADP_C10H12N5O10P2","true","-999999.0","999999.0","0.0","b0474","Adk","S_Oxidative_Phosphorylation","2.7.4.3"
"false","5.335524","R_AKGDH","R_2_Oxogluterate_dehydrogenase","M_akg_c + M_coa_c + M_nad_c --> M_co2_c + M_nadh_c + M_succoa_c","M_2_Oxoglutarate_C5H4O5 + M_Coenzyme_A_C21H32N7O16P3S + M_Nicotinamide_adenine_dinucleotide_C21H26N7O14P2 --> M_CO2_CO2 + M_Nicotinamide_adenine_dinucleotide___reduced_C21H27N7O14P2 + M_Succinyl_CoA_C25H35N7O19P3S","false","0.0","999999.0","0.0","( b0116  and  b0726  and  b0727 )","SucA","S_Citric_Acid_Cycle"," "
"false","0.0","R_AKGt2r","R_2_oxoglutarate_reversible_transport_via_symport","M_akg_e + M_h_e <==> M_akg_c + M_h_c","M_2_Oxoglutarate_C5H4O5 + M_H_H <==> M_2_Oxoglutarate_C5H4O5 + M_H_H","true","-999999.0","999999.0","0.0","b2587","KgtPec","S_"," "
"false","7.6","R_ATPM","R_ATP_maintenance_requirement","M_atp_c + M_h2o_c --> M_adp_c + M_h_c + M_pi_c","M_ATP_C10H12N5O13P3 + M_H2O_H2O --> M_ADP_C10H12N5O10P2 + M_H_H + M_Phosphate_HO4P","false","7.6","7.6","0.0"," "," ","S_Oxidative_Phosphorylation"," "
"false","39.747017","R_ATPS4r","R_ATP_synthase__four_protons_for_one_ATP_","M_adp_c + M_pi_c + 4 M_h_e <==> M_atp_c + 3 M_h_c + M_h2o_c","M_ADP_C10H12N5O10P2 + M_Phosphate_HO4P + 4 M_H_H <==> M_ATP_C10H12N5O13P3 + 3 M_H_H + M_H2O_H2O","true","-999999.0","999999.0","0.0","( ( b3736  and  b3737  and  b3738 )  and  ( b3731  and  b3732  and  b3733  and  b3734  and  b3735 )  and  b3739 )","( AtpF0 and AtpF1 and AtpI )","S_Oxidative_Phosphorylation","3.6.3.14"
"false","0.861407","R_Biomass_Ecoli_core_N__w_GAM_","R_core_E_coli_biomass_equation__Neidhardt_Based_with_GAM_","1.496 M_3pg_c + 3.7478 M_accoa_c + 1.0789 M_akg_c + 55.703 M_atp_c + 0.361 M_e4p_c + 0.0709 M_f6p_c + 0.129 M_g3p_c + 0.205 M_g6p_c + 55.703 M_h2o_c + 3.547 M_nad_c + 18.225 M_nadph_c + 1.7867 M_oaa_c + 0.5191 M_pep_c + 2.8328 M_pyr_c + 0.8977 M_r5p_c --> 55.703 M_adp_c + 3.7478 M_coa_c + 41.025 M_h_c + 3.547 M_nadh_c + 18.225 M_nadp_c + 55.703 M_pi_c","1.496 M_3_Phospho_D_glycerate_C3H4O7P + 3.7478 M_Acetyl_CoA_C23H34N7O17P3S + 1.0789 M_2_Oxoglutarate_C5H4O5 + 55.703 M_ATP_C10H12N5O13P3 + 0.361 M_D_Erythrose_4_phosphate_C4H7O7P + 0.0709 M_D_Fructose_6_phosphate_C6H11O9P + 0.129 M_Glyceraldehyde_3_phosphate_C3H5O6P + 0.205 M_D_Glucose_6_phosphate_C6H11O9P + 55.703 M_H2O_H2O + 3.547 M_Nicotinamide_adenine_dinucleotide_C21H26N7O14P2 + 18.225 M_Nicotinamide_adenine_dinucleotide_phosphate___reduced_C21H26N7O17P3 + 1.7867 M_Oxaloacetate_C4H2O5 + 0.5191 M_Phosphoenolpyruvate_C3H2O6P + 2.8328 M_Pyruvate_C3H3O3 + 0.8977 M_alpha_D_Ribose_5_phosphate_C5H9O8P --> 55.703 M_ADP_C10H12N5O10P2 + 3.7478 M_Coenzyme_A_C21H32N7O16P3S + 41.025 M_H_H + 3.547 M_Nicotinamide_adenine_dinucleotide___reduced_C21H27N7O14P2 + 18.225 M_Nicotinamide_adenine_dinucleotide_phosphate_C21H25N7O17P3 + 55.703 M_Phosphate_HO4P","false","0.0","999999.0","1.0"," "," "," "," "
"false","-23.342377","R_CO2t","R_CO2_transporter_via_diffusion","M_co2_e <==> M_co2_c","M_CO2_CO2 <==> M_CO2_CO2","true","-999999.0","999999.0","0.0"," "," ","S_"," "
"false","6.264896","R_CS","R_citrate_synthase","M_accoa_c + M_h2o_c + M_oaa_c --> M_cit_c + M_coa_c + M_h_c","M_Acetyl_CoA_C23H34N7O17P3S + M_H2O_H2O + M_Oxaloacetate_C4H2O5 --> M_Citrate_C6H5O7 + M_Coenzyme_A_C21H32N7O16P3S + M_H_H","false","0.0","999999.0","0.0","b0720","GltA","S_Citric_Acid_Cycle"," "
"false","44.693007","R_CYTBD","R_cytochrome_oxidase_bd__ubiquinol_8_2_protons_","2 M_h_c + 0.5 M_o2_c + M_q8h2_c --> M_h2o_c + M_q8_c + 2 M_h_e","2 M_H_H + 0.5 M_O2_O2 + M_Ubiquinol_8_C49H76O4 --> M_H2O_H2O + M_Ubiquinone_8_C49H74O4 + 2 M_H_H","false","0.0","999999.0","0.0","( b0429  and  b0430  and  b0431  and  b0432 )","CyoA","S_Oxidative_Phosphorylation"," "
"false","0.0","R_D_LACt2","R_D_lactate_transport_via_proton_symport","M_h_e + M_lac_D_e <==> M_h_c + M_lac_D_c","M_H_H + M_D_Lactate_C3H5O3 <==> M_H_H + M_D_Lactate_C3H5O3","true","-999999.0","999999.0","0.0","( b2975  or  b3603 )","( GlcA ) or ( LldP )","S_Transport__Extracellular"," "
"false","14.84908","R_ENO","R_enolase","M_2pg_c <==> M_h2o_c + M_pep_c","M_D_Glycerate_2_phosphate_C3H4O7P <==> M_H2O_H2O + M_Phosphoenolpyruvate_C3H2O6P","true","-999999.0","999999.0","0.0","b2779","Eno","S_GlycolysisGluconeogenesis","4.2.1.11"
"false","0.0","R_ETOHt2r","R_ethanol_reversible_transport_via_proton_symport","M_etoh_e + M_h_e <==> M_etoh_c + M_h_c","M_Ethanol_C2H6O + M_H_H <==> M_Ethanol_C2H6O + M_H_H","true","-999999.0","999999.0","0.0"," "," ","S_"," "
"false","0.0","R_EX_ac_e_","R_Acetate_exchange","M_ac_e <==> M_ac_b","M_Acetate_C2H3O2 <==> M_Acetate_C2H3O2","true","0.0","999999.0","0.0"," "," ","S_"," "
"false","0.0","R_EX_akg_e_","R_2_Oxoglutarate_exchange","M_akg_e <==> M_akg_b","M_2_Oxoglutarate_C5H4O5 <==> M_2_Oxoglutarate_C5H4O5","true","0.0","999999.0","0.0"," "," ","S_"," "
"false","23.342377","R_EX_co2_e_","R_CO2_exchange","M_co2_e <==> M_co2_b","M_CO2_CO2 <==> M_CO2_CO2","true","-999999.0","999999.0","0.0"," "," ","S_"," "
"false","0.0","R_EX_etoh_e_","R_Ethanol_exchange","M_etoh_e <==> M_etoh_b","M_Ethanol_C2H6O <==> M_Ethanol_C2H6O","true","0.0","999999.0","0.0"," "," ","S_"," "
"false","0.0","R_EX_for_e_","R_Formate_exchange","M_for_e <==> M_for_b","M_Formate_CH1O2 <==> M_Formate_CH1O2","true","0.0","999999.0","0.0"," "," ","S_"," "
"false","0.0","R_EX_fum_e_","R_Fumarate_exchange","M_fum_e <==> M_fum_b","M_Fumarate_C4H2O4 <==> M_Fumarate_C4H2O4","true","0.0","999999.0","0.0"," "," ","S_"," "
"false","-10.0","R_EX_glc_e_","R_D_Glucose_exchange","M_glc_D_e <==> M_glc_D_b","M_D_Glucose_C6H12O6 <==> M_D_Glucose_C6H12O6","true","-10.0","999999.0","0.0"," "," ","S_"," "
"false","24.920131","R_EX_h2o_e_","R_H2O_exchange","M_h2o_e <==> M_h2o_b","M_H2O_H2O <==> M_H2O_H2O","true","-999999.0","999999.0","0.0"," "," ","S_"," "
"false","9.112915","R_EX_h_e_","R_H_exchange","M_h_e <==> M_h_b","M_H_H <==> M_H_H","true","-999999.0","999999.0","0.0"," "," ","S_"," "
"false","0.0","R_EX_lac_D_e_","R_D_lactate_exchange","M_lac_D_e <==> M_lac_D_b","M_D_Lactate_C3H5O3 <==> M_D_Lactate_C3H5O3","true","0.0","999999.0","0.0"," "," ","S_"," "
"false","-22.346504","R_EX_o2_e_","R_O2_exchange","M_o2_e <==> M_o2_b","M_O2_O2 <==> M_O2_O2","true","-999999.0","999999.0","0.0"," "," ","S_"," "
"false","-3.168859","R_EX_pi_e_","R_Phosphate_exchange","M_pi_e <==> M_pi_b","M_Phosphate_HO4P <==> M_Phosphate_HO4P","true","-999999.0","999999.0","0.0"," "," ","S_"," "
"false","0.0","R_EX_pyr_e_","R_Pyruvate_exchange","M_pyr_e <==> M_pyr_b","M_Pyruvate_C3H3O3 <==> M_Pyruvate_C3H3O3","true","0.0","999999.0","0.0"," "," ","S_"," "
"false","0.0","R_EX_succ_e_","R_Succinate_exchange","M_succ_e <==> M_succ_b","M_Succinate_C4H4O4 <==> M_Succinate_C4H4O4","true","0.0","999999.0","0.0"," "," ","S_"," "
"false","7.570782","R_FBA","R_fructose_bisphosphate_aldolase","M_fdp_c <==> M_dhap_c + M_g3p_c","M_D_Fructose_1_6_bisphosphate_C6H10O12P2 <==> M_Dihydroxyacetone_phosphate_C3H5O6P + M_Glyceraldehyde_3_phosphate_C3H5O6P","true","-999999.0","999999.0","0.0","b2925","FbaA","S_GlycolysisGluconeogenesis","4.1.2.13"
"false","0.0","R_FBP","R_fructose_bisphosphatase","M_fdp_c + M_h2o_c --> M_f6p_c + M_pi_c","M_D_Fructose_1_6_bisphosphate_C6H10O12P2 + M_H2O_H2O --> M_D_Fructose_6_phosphate_C6H11O9P + M_Phosphate_HO4P","false","0.0","999999.0","0.0","b4232","Fbp","S_GlycolysisGluconeogenesis","3.1.3.11"
"false","0.0","R_FORt","R_formate_transport_via_diffusion","M_for_e <==> M_for_c","M_Formate_CH1O2 <==> M_Formate_CH1O2","true","-999999.0","999999.0","0.0","b0904","FocA","S_Transport__Extracellular"," "
"false","0.0","R_FRD","R_fumarate_reductase","M_fadh2_c + M_fum_c --> M_fad_c + M_succ_c","M_Flavin_adenine_dinucleotide_reduced_C27H33N9O15P2 + M_Fumarate_C4H2O4 --> M_Flavin_adenine_dinucleotide_oxidized_C27H31N9O15P2 + M_Succinate_C4H4O4","false","0.0","999999.0","0.0","( ( b4151  and  b4152  and  b4153  and  b4154 )  or  b3117 )","Frd","S_Citric_Acid_Cycle","1.3.99.1"
"false","5.335524","R_FUM","R_fumarase","M_fum_c + M_h2o_c <==> M_mal_L_c","M_Fumarate_C4H2O4 + M_H2O_H2O <==> M_L_Malate_C4H4O5","true","-999999.0","999999.0","0.0","( b1612  or  b4122  or  b1611 )","( FumA ) or ( FumB ) or ( FumCec )","S_Citric_Acid_Cycle","4.2.1.2"
"false","0.0","R_FUMt2_2","R_Fumarate_transport_via_proton_symport__2_H_","M_fum_e + 2 M_h_e --> M_fum_c + 2 M_h_c","M_Fumarate_C4H2O4 + 2 M_H_H --> M_Fumarate_C4H2O4 + 2 M_H_H","false","0.0","999999.0","0.0","b3528","DctA","S_"," "
"false","4.717127","R_G6PDH2r","R_glucose_6_phosphate_dehydrogenase","M_g6p_c + M_nadp_c <==> M_6pgl_c + M_h_c + M_nadph_c","M_D_Glucose_6_phosphate_C6H11O9P + M_Nicotinamide_adenine_dinucleotide_phosphate_C21H25N7O17P3 <==> M_6_phospho_D_glucono_1_5_lactone_C6H9O9P + M_H_H + M_Nicotinamide_adenine_dinucleotide_phosphate___reduced_C21H26N7O17P3","true","-999999.0","999999.0","0.0","b1852","Zwf","S_Pentose_Phosphate_Pathway","1.1.1.49"
"false","16.137745","R_GAPD","R_glyceraldehyde_3_phosphate_dehydrogenase","M_g3p_c + M_nad_c + M_pi_c <==> M_13dpg_c + M_h_c + M_nadh_c","M_Glyceraldehyde_3_phosphate_C3H5O6P + M_Nicotinamide_adenine_dinucleotide_C21H26N7O14P2 + M_Phosphate_HO4P <==> M_3_Phospho_D_glyceroyl_phosphate_C3H4O10P2 + M_H_H + M_Nicotinamide_adenine_dinucleotide___reduced_C21H27N7O14P2","true","-999999.0","999999.0","0.0","( b1779  or  ( b1416  and  b1417 ) )","( GapA ) or ( GapC )","S_GlycolysisGluconeogenesis","1.2.1.12"
"false","10.0","R_GLCpts","R_D_glucose_transport_via_PEPPyr_PTS","M_pep_c + M_glc_D_e --> M_g6p_c + M_pyr_c","M_Phosphoenolpyruvate_C3H2O6P + M_D_Glucose_C6H12O6 --> M_D_Glucose_6_phosphate_C6H11O9P + M_Pyruvate_C3H3O3","false","0.0","999999.0","0.0","( b1101  and  b2415  and  b2416  and  b2417 )","Pts","S_Transport__Extracellular"," "
"false","4.717127","R_GND","R_phosphogluconate_dehydrogenase","M_6pgc_c + M_nadp_c --> M_co2_c + M_nadph_c + M_ru5p_D_c","M_6_Phospho_D_gluconate_C6H10O10P + M_Nicotinamide_adenine_dinucleotide_phosphate_C21H25N7O17P3 --> M_CO2_CO2 + M_Nicotinamide_adenine_dinucleotide_phosphate___reduced_C21H26N7O17P3 + M_D_Ribulose_5_phosphate_C5H9O8P","false","0.0","999999.0","0.0","b2029","Gnd","S_Pentose_Phosphate_Pathway","1.1.1.44"
