"Metabolite Abbreviation","Metabolite Name","Charge","Compartment","Boundary Condition","Neutral metabolite formula","Charged metab. formula","KeggID","PubChem ID","CheBI ID"
"M_h2o_c","H2O","  ","c","false","H2O","H2O","C00001","3303","15377"
"M_h2o_p","H2O","  ","p","false","H2O","H2O","C00001","3303","15377"
"M_h2o_u","H2O","  ","u","false","H2O","H2O","C00001","3303","15377"
"M_pq_u","oxidized plastoquinone","  ","u","false","C13H18O2","C13H18O2","C16694","5256","16323"
"M_o2_u","O2","  ","u","false","O2","O2","C00007","3309","15379"
"M_pqh2_u","reduced plastoquinone","  ","u","false","C13H16O2","C13H16O2","C02185","51091016"," "
"M_ofdx_p","oxidized ferredoxin","  ","p","false"," "," ","c00139","3439","17908"
"M_rpc_u","reduced plastocyanin","  ","u","false"," "," ","C03025","5931"," "
"M_h_u","H+","1","u","false","H","H","C00080","3380","15378"
"M_rfdx_p","reduced ferredoxin","  ","p","false"," "," ","c00138","3438","17513"
"M_opc_u","oxidized plastocyanin","  ","u","false"," "," ","C03162","6047"," "
"M_h_p","H+","1","p","false","H","H","C00080","3380","15378"
"M_nadp_p","NADP+","  ","p","false","C21H29N7O17P3","C21H29N7O17P3","C00006","3308","18009"
"M_nadph_p","NADPH","  ","p","false","C21H30N7O17P3","C21H30N7O17P3","C00005","3307","16474"
"M_adp_p","ADP","-3","p","false","C10H15N5O10P2","C10H12N5O10P2","C00008","3310","16761"
"M_pi_p","Phosphate","  ","p","false","H3PO4","H3PO4","C00009","3311","18367"
"M_atp_p","ATP","-4","p","false","C10H16N5O13P3","C10H12N5O13P3","C00002","3304","15422"
"M_o2_p","O2","  ","p","false","O2","O2","C00007","3309","15379"
"M_o2_c","O2","  ","c","false","O2","O2","C00007","3309","15379"
"M_o2_m","O2","  ","m","false","O2","O2","C00007","3309","15379"
"M_atp_c","ATP","-4","c","false","C10H16N5O13P3","C10H12N5O13P3","C00002","3304","15422"
"M_adp_c","ADP","-3","c","false","C10H15N5O10P2","C10H12N5O10P2","C00008","3310","16761"
"M_pi_c","Phosphate","  ","c","false","H3PO4","H3PO4","C00009","3311","18367"
"M_h_c","H+","1","c","false","H","H","C00080","3380","15378"
"M_amp_c","amp","  ","c","false","C10H14N5O7P","C10H14N5O7P","C00020"," "," "
"M_ppi_c","Pyrophosphate","  ","c","false","P2H4O7","P2H4O7","C00013","3315","18361 29888"
"M_nadh_p","NADH","  ","p","false","C21H29N7O14P2","C21H29N7O14P2","C00004","3306","16908"
"M_q_p","Ubiquinone (Coenzyme Q)","  ","p","false","C14H18O4(C5H8)n","C14H18O4(C5H8)n","C00399","3689","16389"
"M_nad_p","NAD+","  ","p","false","C21H28N7O14P2","C21H28N7O14P2","C00003","3305","15846"
"M_qh2_p","Ubiquinol","  ","p","false","C14H20O4(C5H8)n","C14H20O4(C5H8)n","C00390","3680","17976"
"M_nadph_c","NADPH","  ","c","false","C21H30N7O17P3","C21H30N7O17P3","C00005","3307","16474"
"M_nad_c","NAD+","  ","c","false","C21H28N7O14P2","C21H28N7O14P2","C00003","3305","15846"
"M_nadp_c","NADP+","  ","c","false","C21H29N7O17P3","C21H29N7O17P3","C00006","3308","18009"
"M_nadh_c","NADH","  ","c","false","C21H29N7O14P2","C21H29N7O14P2","C00004","3306","16908"
"M_hco3_c","Bicarbonate","  ","c","false","HCO3","HCO3","C00288","3583","17544"
"M_hco3_p","Bicarbonate","  ","p","false","HCO3","HCO3","C00288","3583","17544"
"M_hco3_m","Bicarbonate","  ","m","false","HCO3","HCO3","C00288","3583","17544"
"M_co2_p","co2","  ","p","false","co2","co2"," "," "," "
"M_thr_c","Threonine","  ","c","false","C4H9NO3","C4H9NO3","C00188","3488","16857"
"M_thr_m","Threonine","  ","m","false","C4H9NO3","C4H9NO3","C00188","3488","16857"
"M_2oxobut_c","2-Oxobutanoate","  ","c","false","C4H6O3","C4H6O3","C00109","3409","30831"
"M_2oxobut_m","2-Oxobutanoate","  ","m","false","C4H6O3","C4H6O3","C00109","3409","30831"
"M_acetser_c","O-Acetyl-L-serine","  ","c","false","C5H9NO4","C5H9NO4","C00979","4228","17981"
"M_acetser_m","O-Acetyl-L-serine","  ","m","false","C5H9NO4","C5H9NO4","C00979","4228","17981"
"M_homocys_c","L-Homocysteine","  ","c","false","C4H9NO2S","C4H9NO2S","C00155","3455","17588"
"M_homocys_m","L-Homocysteine","  ","m","false","C4H9NO2S","C4H9NO2S","C00155","3455","17588"
"M_cys_c","Cysteine","  ","c","false","C3H7NO2S","C3H7NO2S","C00097","3397","17561"
"M_cys_p","Cysteine","  ","p","false","C3H7NO2S","C3H7NO2S","C00097","3397","17561"
"M_glc_c","Glucose","  ","c","false","C6H12O6","C6H12O6","C00031","3333","4167"
"M_g6p_c","glucose 6-phosphate","  ","c","false","C6H13O9P","C6H13O9P","C00092","3392","4170"
"M_co2_c","co2","  ","c","false","co2","co2"," "," "," "
"M_ppi_p","Pyrophosphate","  ","p","false","P2H4O7","P2H4O7","C00013","3315","18361 29888"
"M_ru5p_p","Ribulose-5P","  ","p","false","C5H11O8P","C5H11O8P","C00199","3499","17363"
"M_rubp_p","Ribulose 1,5-bisphosphate","  ","p","false","C5H12O11P2","C5H12O11P2","C01182","4409","16710"
"M_gly3p_p","Glycerate 3P (3-Phospho-D-glycerate)","  ","p","false","C3H7O7P","C3H7O7P","C00197","3497","17794"
"M_3pgPi_p","3-Phospho-D-glyceroyl phosphate (glycerate-1,3P)","  ","p","false","C3H8O10P2","C3H8O10P2","C00236","3535","16001"
"M_g3p_p","Glyceraldehyde 3P, 3-phosphoglycerate","  ","p","false","C3H7O6P","C3H7O6P","C00118","3418","29052"
"M_gp_p","Glycerone-P (dihydroxyacetone phosphate, DHAP)","  ","p","false","C3H7O6P","C3H7O6P","C00111","3411","16108"
"M_f16p_p","beta-Fructose 1,6-bisphosphate","  ","p","false","C6H14O12P2","C6H14O12P2","C05378","7752","28013"
"M_f6p_p","beta-fructose-6-phosphate","  ","p","false","C6H13O9P","C6H13O9P","C00085","3385","15946"
"M_e4p_p","Erythrose-4P","  ","p","false","C4H9O7P","C4H9O7P","C00279","3574","48153"
"M_xu5p_p","Xylulose-5P","  ","p","false","C5H11O8P","C5H11O8P","c00231"," "," "
"M_sh17bp_p","sedoheptulose-1,7-bisphosphate","  ","p","false","C7H16O13P2","C7H16O13P2","c00447"," "," "
"M_s7p_p","Sedoheptulose-7P","  ","p","false","C7H15O10P","C7H15O10P","C05382","7756","15721"
"M_r5p_p","Ribose-5P","  ","p","false","C5H11O8P","C5H11O8P","C00117","3417","17797"
"M_g1p_p","glucose 1-phosphate (alpha-glucose-1-phosphate)","  ","p","false","C6H13O9P","C6H13O9P","C00103","3403","16077"
"M_g6p_p","glucose 6-phosphate","  ","p","false","C6H13O9P","C6H13O9P","C00092","3392","4170"
"M_g1p_c","glucose 1-phosphate (alpha-glucose-1-phosphate)","  ","c","false","C6H13O9P","C6H13O9P","C00103","3403","16077"
"M_f6p_c","beta-fructose-6-phosphate","  ","c","false","C6H13O9P","C6H13O9P","C00085","3385","15946"
"M_r1p_p","Ribose-1P","  ","p","false","C5H11O8P","C5H11O8P","C00620","3894","35425"
"M_gly2p_p","Glycerate 2P (2-Phospho-D-glycerate)","  ","p","false","C3H7O7P","C3H7O7P","C00631","3904","17835"
"M_pep_p","Phosphoenolpyruvate","  ","p","false","C3H5O6P","C3H5O6P","C00074","3374","18021 44897"
"M_pyr_p","Pyruvate","-1","p","false","C3H4O3","C3H4O3","C00022","3324","32816"
"M_amp_p","amp","  ","p","false","C10H14N5O7P","C10H14N5O7P","C00020"," "," "
"M_g3p_c","Glyceraldehyde 3P, 3-phosphoglycerate","  ","c","false","C3H7O6P","C3H7O6P","C00118","3418","29052"
"M_pyr_c","Pyruvate","-1","c","false","C3H4O3","C3H4O3","C00022","3324","32816"
"M_pep_c","Phosphoenolpyruvate","  ","c","false","C3H5O6P","C3H5O6P","C00074","3374","18021 44897"
"M_pglyct_p","2-phosphoglycolate","  ","p","false"," "," ","c00988"," "," "
"M_glyct_p","glycolate","  ","p","false","C2H4O3","C2H4O3","C00160","3460","17497"
"M_hno2_c","nitrite","  ","c","false","HNO2","HNO2","C00088","3388","16301"
"M_hno2_p","nitrite","  ","p","false","HNO2","HNO2","C00088","3388","16301"
"M_nh3_p","nh3","  ","p","false","nh3","nh3","C00014"," "," "
"M_nh3_c","nh3","  ","c","false","nh3","nh3","C00014"," "," "
"M_glu_p","Glutamate","  ","p","false","C5H9NO4","C5H9NO4","C00025","3327","16015"
"M_gln_p","glutamine","  ","p","false","C5H10N2O3","C5H10N2O3","C00064","3364","18050"
"M_oxoglut_p","2-Oxoglutarate (alpha-ketoglutaric acid)","  ","p","false","C5H6O5","C5H6O5","C00026","3328","30915"
"M_oxoglut_c","2-Oxoglutarate (alpha-ketoglutaric acid)","  ","c","false","C5H6O5","C5H6O5","C00026","3328","30915"
"M_glu_c","Glutamate","  ","c","false","C5H9NO4","C5H9NO4","C00025","3327","16015"
"M_gln_c","glutamine","  ","c","false","C5H10N2O3","C5H10N2O3","C00064","3364","18050"
"M_dilipo_p","dihydrolipoamide","  ","p","false"," "," ","c00579"," "," "
"M_lipo_p","lipoamide","  ","p","false","C8H15NOS2","C8H15NOS2","c00248"," "," "
"M_dilipoE_p","Dihydrolipoamide-E","  ","p","false","C8H16NOS2R","C8H16NOS2R","C15973","47205286"," "
"M_lipoE_p","Lipoamide-E","  ","p","false","C8H14NOS2R","C8H14NOS2R","C15972","47205285"," "
"M_dhlp_p","Dihydrolipoylprotein","  ","p","false","C8H16NOS2R","C8H16NOS2R","C02972","5884","16194"
"M_lpp_p","Lipoylprotein","  ","p","false","C8H14NOS2R","C8H14NOS2R","C02051","5140","15804"
"M_oxad_p","2-Oxoadipate","  ","p","false","C6H8O5","C6H8O5","c00322"," "," "
"M_coa_p","CoA","  ","p","false","C21H36N7O16P3S","C21H36N7O16P3S","C00010","3312","15346"
"M_glucoa_p","glutaryl-coa","  ","p","false","C26H42N7O19P3S","C26H42N7O19P3S","c00527"," "," "
"M_succoa_p","Succinyl-CoA","  ","p","false","C25H40N7O19P3S","C25H40N7O19P3S","C00091","3391","15380"
"M_oxaloacet_p","Oxaloacetate","  ","p","false","C4H4O5","C4H4O5","C00036","3338","30744"
"M_asp_c","Aspartate","  ","c","false","C4H7NO4","C4H7NO4","C00049","3351","17053"
"M_asp_p","Aspartate","  ","p","false","C4H7NO4","C4H7NO4","C00049","3351","17053"
"M_oxaloacet_c","Oxaloacetate","  ","c","false","C4H4O5","C4H4O5","C00036","3338","30744"
"M_asn_p","Asparagine","  ","p","false","C4H8N2O3","C4H8N2O3","C00152","3452","17196"
"M_asn_c","Asparagine","  ","c","false","C4H8N2O3","C4H8N2O3","C00152","3452","17196"
"M_thf_c","THF (tetrahydrofolate)","  ","c","false","C19H23N7O6","C19H23N7O6","C00101","3401","15635"
"M_thf_p","THF (tetrahydrofolate)","  ","p","false","C19H23N7O6","C19H23N7O6","C00101","3401","15635"
"M_fol_p","folate","  ","p","false"," "," ","c00504"," "," "
"M_dhdf_p","7,8-dihydrofolate","  ","p","false","C19H21N7O6"," ","c00415","3705","15633"
"M_aclipoE_p","S-Acetyl-dihydrolipoamide-E","  ","p","false","C10H18NO2S2R","C10H18NO2S2R","C16255","47205563"," "
"M_coa_c","CoA","  ","c","false","C21H36N7O16P3S","C21H36N7O16P3S","C00010","3312","15346"
"M_acca_p","Acetyl CoA","  ","p","false","C23H38N7O17P3S","C23H38N7O17P3S","C0024","3326","15351"
"M_acp_p","ACP (Acyl-carrier protein)","  ","p","false","HSR","HSR","C00229","3528","18359"
"M_acetylacp_p","acetyl-acp","  ","p","false"," "," ","c03939"," "," "
"M_mcoa_p","Malonyl CoA","  ","p","false","C24H38N7O19P3S","C24H38N7O19P3S","C00083","3383","15531"
"M_acet_p","Acetate","  ","p","false","C2H4O2","C2H4O2","C00033","3335","15366"
"M_malonylacp_p","malonyl-acp","  ","p","false"," "," ","c01209"," "," "
"M_aaacp_p","acetoacetyl-acp","  ","p","false"," "," ","C05744"," "," "
"M_hbacp_p","(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]","  ","p","false"," "," ","C04618"," "," "
"M_beacp_p","But-2-enoyl-[acyl-carrier protein]","  ","p","false"," "," ","C04246"," "," "
"M_butacp_p","Butyryl-[acp]","  ","p","false"," "," ","C05745"," "," "
"M_ohacp_p","3-Oxohexanoyl-acp","  ","p","false"," "," ","c05746"," "," "
"M_hhacp_p","(R)-3-Hydroxyhexanoyl-[acp]","  ","p","false"," "," ","C05747"," "," "
"M_thacp_p","trans-Hex-2-enoyl-[acp]","  ","p","false"," "," ","C05748"," "," "
"M_hexacp_p","Hexanoyl-[acp]","  ","p","false"," "," ","C05749"," "," "
"M_ooacp_p","3-Oxooctanoyl-[acp]","  ","p","false"," "," ","C05750"," "," "
"M_hyoacp_p","(3R)-3-Hydroxyoctanoyl-[acp]","  ","p","false"," "," ","C04620"," "," "
"M_to2eacp_p","trans-Oct-2-enoyl-[acp]","  ","p","false"," "," ","C05751"," "," "
"M_ocacp_p","Octanoyl-[acp]","  ","p","false"," "," ","C05752"," "," "
"M_odacp_p","3-Oxodecanoyl-[acp]","  ","p","false"," "," ","C05753"," "," "
"M_hdacp_p","(3R)-3-Hydroxydecanoyl-[acyl-carrier protein]","  ","p","false"," "," ","C04619"," "," "
"M_td2eacp_p","trans-Dec-2-enoyl-[acp]","  ","p","false"," "," ","C05754"," "," "
"M_decacp_p","Decanoyl-[acp]","  ","p","false"," "," ","C05755"," "," "
"M_oxdoacp_p","3-Oxododecanoyl-[acp]","  ","p","false"," "," ","C05756"," "," "
"M_hyddacp_p","(R)-3-Hydroxydodecanoyl-[acp]","  ","p","false"," "," ","C05757"," "," "
"M_dd2eacp_p","trans-Dodec-2-enoyl-[acp]","  ","p","false"," "," ","C05758"," "," "
"M_ddacp_p","Dodecanoyl-[acyl-carrier protein]","  ","p","false"," "," ","C05223"," "," "
"M_otdacp_p","3-Oxotetradecanoyl-[acp]","  ","p","false"," "," ","C05759"," "," "
"M_htdacp_p","(3R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]","  ","p","false"," "," ","C04688"," "," "
"M_tt2eacp_p","trans-Tetradec-2-enoyl-[acp]","  ","p","false"," "," ","C05760"," "," "
"M_tdacp_p","Tetradecanoyl-[acp]","  ","p","false"," "," ","C05761"," "," "
"M_ohdacp_p","3-Oxohexadecanoyl-[acp]","  ","p","false"," "," ","C05762"," "," "
"M_hpacp_p","(3R)-3-Hydroxypalmitoyl-[acyl-carrier protein]","  ","p","false"," "," ","C04633"," "," "
"M_th2eacp_p","trans-Hexadec-2-enoyl-[acp]","  ","p","false"," "," ","C05763"," "," "
"M_hdeacacp_p","Hexadecanoyl-[acp]","  ","p","false"," "," ","C05764"," "," "
"M_ostacp_p","3-Oxostearoyl-[acp]","  ","p","false"," "," ","C16219"," "," "
"M_hotdacp_p","3-Hydroxyoctadecanoyl-[acp]","  ","p","false"," "," ","C16220"," "," "
"M_tod2eacp_p","trans-Octadec-2-enoyl-[acp]","  ","p","false"," "," ","C16221"," "," "
"M_odecacp_p","Octadecanoyl-[acyl-carrier protein]","  ","p","false"," "," ","C04088"," "," "
"M_palm_p","hexadecanoic acid (palmitic acid)","  ","p","false","C16"," ","c00249"," "," "
"M_palmcoa_p","hexadecanoyl-coa","  ","p","false"," "," "," "," "," "
"M_myr_p","tetradecanoic acid (myristic acid)","  ","p","false"," "," ","c06424"," "," "
"M_myrcoa_p","tetradecanoyl-coa","  ","p","false"," "," "," "," "," "
"M_glyt_p","D-Glycerate","  ","p","false","C3H6O4","C3H6O4","C00258","3557","32398"
"M_gald_p","D-Glyceraldehyde","  ","p","false","C3H6O3","C3H6O3","C00577","3856","17378"
"M_glyc_p","Glycerol","  ","p","false","C3H8O3","C3H8O3","C00116","3416","17754"
"M_glyl3p_p","sn-Glycerol 3-phosphate","  ","p","false","C3H9O6P","C3H9O6P","C00093","3393","15978"
"M_acp_c","ACP (Acyl-carrier protein)","  ","c","false","HSR","HSR","C00229","3528","18359"
"M_ag3pi_p","1-Acyl-sn-glycerol 3-phosphate","  ","p","false","C4H8O7PR","C4H8O7PR","C00681","3950","16975"
"M_dag3pi_p","1,2 Diacyl-sn-glycerol 3-phospate","  ","p","false","C5H7O8PR2","C5H7O8PR2","C00416","3706","16337"
"M_dag12_p","1,2-Diacyl-sn-glycerol","  ","p","false","C5H6O5R2","C5H6O5R2","C00641","3914","17815"
"M_tag_m","triacylglycerol","  ","m","false","C6H5O6R3","C6H5O6R3","C00422","3712","17855"
"M_h2o_m","H2O","  ","m","false","H2O","H2O","C00001","3303","15377"
"M_cooh_m","carboxylate","  ","m","false","CO2R","CO2R","C00060","3360","35757"
"M_dag_m"," "," ","m","false"," "," "," "," "," "
"M_tag_p","triacylglycerol","  ","p","false","C6H5O6R3","C6H5O6R3","C00422","3712","17855"
"M_dag12_c","1,2-Diacyl-sn-glycerol","  ","c","false","C5H6O5R2","C5H6O5R2","C00641","3914","17815"
"M_datp_p","dATP","  ","p","false","C10H16N5O12P3"," ","C00131"," "," "
"M_dadp_p","dADP","  ","p","false","C10H15N5O9P2"," ","C00206"," "," "
"M_ctp_p"," "," ","p","false","C9H16N3O14P3"," ","C00063"," "," "
"M_cdp_p","CDP","  ","p","false","C9H15N3O11P2","C9H15N3O11P2","c00112","3412","17239"
"M_dctp_p","dCTP","  ","p","false","C9H16N3O13P3"," ","C00458"," "," "
"M_dcdp_p","dCDP","  ","p","false","C9H15N3O10P2","C9H15N3O10P2","c00705","3972"," "
"M_utp_p"," "," ","p","false","C9H15N2O15P3"," ","C00075"," "," "
"M_udp_p","UDP","  ","p","false","C9H14N2O12P2","C9H14N2O12P2","c00015"," "," "
"M_dutp_p","dUTP","  ","p","false","C9H15N2O14P3"," ","C00460"," "," "
"M_dudp_p","dUDP","  ","p","false","C9H14N2O11P2"," ","C01346"," "," "
"M_gtp_p","GTP"," ","p","false","C10H16N5O14P3","C10H16N5O14P3","C00044"," "," "
"M_gdp_p","GDP","  ","p","false","C10H15N5O11P2","C10H15N5O11P2","C00035"," "," "
"M_dgtp_p","dGTP","  ","p","false","C10H16N5O13P3"," ","C00286"," "," "
"M_dgdp_p","dGDP","  ","p","false","C10H15N5O10P2"," ","C00361"," "," "
"M_trnaglu_c","tRNA(Glu)","  ","c","false"," "," ","C01641"," "," "
"M_glutrna_c","L-Glutamyl-tRNA(Glu)","  ","c","false"," "," "," "," "," "
"M_glutrna_p","L-Glutamyl-tRNA(Glu)","  ","p","false"," "," "," "," "," "
"M_trnaglu_p","tRNA(Glu)","  ","p","false"," "," ","C01641"," "," "
"M_glu1sa_p","L-Glutamate 1-semialdehyde","  ","p","false"," "," "," "," "," "
"M_5aop_p","5-Amino-4-oxopentanoate","  ","p","false"," "," "," "," "," "
"M_ppbng_p","porphobilinogen","  ","p","false"," "," "," "," "," "
"M_hmbil_p","Hydroxymethylbilane","  ","p","false"," "," "," "," "," "
"M_uppg3_p","Uroporphyrinogen III","  ","p","false"," "," "," "," "," "
"M_cpppg3_p","coproporphyrinogen III","  ","p","false"," "," "," "," "," "
"M_pppg9_p","Protoporphyrinogen IX","  ","p","false"," "," "," "," "," "
"M_h2o2_p"," "," ","p","false"," "," "," "," "," "
"M_met_p","Methionine","  ","p","false","C5H11NO2S","C5H11NO2S","C00073","3373","16643"
"M_5deoade_p","5'-Deoxyadenosine","  ","p","false"," "," ","c05198"," "," "
"M_ppp9_p","Protoporphyrin","  ","p","false"," "," "," "," "," "
"M_mg2_c","magnesium cation","  ","c","false"," "," "," "," "," "
"M_mg2_p","magnesium cation","  ","p","false"," "," "," "," "," "
"M_mppp9_p","Magnesium protoporphyrin","  ","p","false"," "," ","c03516"," "," "
"M_adlmet_c","S-Adenosyl-L-methionine","  ","c","false","C15H22N6O5S","C15H22N6O5S","C00019","3321","15414"
"M_adlmet_p","S-Adenosyl-L-methionine","  ","p","false","C15H22N6O5S","C15H22N6O5S","C00019","3321","15414"
"M_ahcys_p","S-Adenosyl-L-homocysteine","  ","p","false","C14H20N6O5S","C14H20N6O5S","C00021","3323","16680"
"M_ahcys_c","S-Adenosyl-L-homocysteine","  ","c","false","C14H20N6O5S","C14H20N6O5S","C00021","3323","16680"
"M_aden_c","adenosine","  ","c","false","C10H13N5O4","C10H13N5O4","c00212","3512","16335"
"M_cysth_c","Cystathionine","  ","c","false","C7H14N2O4S","C7H14N2O4S","C02291","5347","17482"
"M_dna_c"," "," ","c","false"," "," "," "," "," "
"M_dna5mc_c","DNA 5-methylcytosine","  ","c","false"," "," ","c02967"," "," "
"M_mppp9me_p","Magnesium protoporphyrin monomethyl ester","  ","p","false"," "," ","c04536"," "," "
"M_hmppp9me_p","13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester","  ","p","false"," "," ","C11829"," "," "
"M_omppp9me_p","13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester","  ","p","false"," "," ","c11830"," "," "
"M_dvpchlda_p","Divinylprotochlorophyllide a","  ","p","false"," "," ","C11831"," "," "
"M_pchlda_p","Protochlorophyllide","  ","p","false"," "," ","C02880"," "," "
"M_dvchlda_p","Divinyl chlorophyllide a","  ","p","false"," "," ","C11832"," "," "
"M_chlda_p","Chlorophyllide a","  ","p","false"," "," ","C02139"," "," "
"M_pdp_p","phytyl diphosphate","  ","p","false"," "," "," "," "," "
"M_chla_p","chla","  ","p","false","C55"," ","c05306"," "," "
"M_ctp_c"," "," ","c","false","C9H16N3O14P3"," ","C00063"," "," "
"M_cmp_c","CMP","  ","c","false","C9H14N3O8P","C9H14N3O8P","c00055","3357","17361"
"M_cmp_p","CMP","  ","p","false","C9H14N3O8P","C9H14N3O8P","c00055","3357","17361"
"M_dxyl5p_p","1-Deoxy-D-xylulose 5-phosphate","  ","p","false"," "," ","C11437"," "," "
"M_met4p_p","2-C-Methyl-D-erythritol 4-phosphate","  ","p","false"," "," ","c11434"," "," "
"M_cmet4p_p","4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol","  ","p","false"," "," ","c11435"," "," "
"M_pcmet4p_p","2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol","  ","p","false"," "," ","c11436"," "," "
"M_mecdp_p","2-C-Methyl-D-erythritol 2,4-cyclodiphosphate","  ","p","false"," "," ","c11453"," "," "
"M_hmbdp_p","1-Hydroxy-2-methyl-2-butenyl 4-diphosphate","  ","p","false"," "," ","c11811"," "," "
"M_acca_c","Acetyl CoA","  ","c","false","C23H38N7O17P3S","C23H38N7O17P3S","C0024","3326","15351"
"M_acetotylcoa_c","Acetoacetyl-CoA","  ","c","false","C25H40N7O18P3S","C25H40N7O18P3S","C00332","3626","15345"
"M_hmcoa_c","(S)-3-hydroxy-3-methylglutaryl-CoA","  ","c","false","C27H44N7O20P3S","C27H44N7O20P3S","C00356","3649","15467"
"M_melv_c","(R)-Mevalonate","  ","c","false"," "," ","c00418"," "," "
"M_pmv_c","(R)-5-Phosphomevalonate","  ","c","false"," "," ","c01107"," "," "
"M_dpmv_c","(R)-5-Diphosphomevalonate","  ","c","false"," "," ","c01143"," "," "
"M_ispdp_c","Isopentenyl diphosphate","  ","c","false"," "," ","c00129"," "," "
"M_ispdp_p","Isopentenyl diphosphate","  ","p","false"," "," ","c00129"," "," "
"M_dmpp_p","Dimethylallyl diphosphate","  ","p","false"," "," ","c00235"," "," "
"M_dmpp_c","Dimethylallyl diphosphate","  ","c","false"," "," ","c00235"," "," "
"M_gpp_c","geranyl diphosphate","  ","c","false"," "," ","c00341"," "," "
"M_tfdp_c","trans,trans-Farnesyl diphosphate","  ","c","false"," "," ","c00448"," "," "
"M_ggdp_c","Geranylgeranyl diphosphate","  ","c","false"," "," ","c00353"," "," "
"M_ggdp_p","Geranylgeranyl diphosphate","  ","p","false"," "," ","c00353"," "," "
"M_gpp_p","geranyl diphosphate","  ","p","false"," "," ","c00341"," "," "
"M_tfdp_p","trans,trans-Farnesyl diphosphate","  ","p","false"," "," ","c00448"," "," "
"M_phytol_p","phytol","  ","p","false"," "," "," "," "," "
"M_pmp_p","pyridoxamine phosphate","  ","p","false"," "," "," "," "," "
"M_gtp_c","GTP"," ","c","false","C10H16N5O14P3","C10H16N5O14P3","C00044"," "," "
"M_gdp_c","GDP","  ","c","false","C10H15N5O11P2","C10H15N5O11P2","C00035"," "," "
"M_3pgPi_c","3-Phospho-D-glyceroyl phosphate (glycerate-1,3P)","  ","c","false","C3H8O10P2","C3H8O10P2","C00236","3535","16001"
"M_gly3p_c","Glycerate 3P (3-Phospho-D-glycerate)","  ","c","false","C3H7O7P","C3H7O7P","C00197","3497","17794"
"M_gluc15lac6p_c","D-Glucono-1,5-lactone-6P","  ","c","false","C6H11O9P","C6H11O9P","C01236","4457","16938"
"M_p6gluc_c","6-Phospho-D-gluconate","  ","c","false","C6H13O10P","C6H13O10P","C00345","3638","48928"
"M_h2o2_c"," "," ","c","false"," "," "," "," "," "
"M_glut_c","glutathione","  ","c","false","C10H17N3O6S","C10H17N3O6S","c00051"," "," "
"M_gssg_c","glutathione disulfide","  ","c","false","C20H32N6O12S2","C20H32N6O12S2","c00127"," "," "
